,R²,RMSE,MAE,Direction_Accuracy,N_predictions
RandomForest,-0.19668459481234346,0.02993662032482646,0.02169962540782833,0.512621359223301,515.0
XGBoost,-0.22133966664520033,0.03024343738953151,0.02215242332336534,0.49320388349514566,515.0
