,Target,R2,RMSE,MAE,Direction,N_predictions
RF_1d,1-day return,-0.19668459481234257,0.02993662032482645,0.021699625407828323,0.512621359223301,515
XGB_1d,1-day return,-0.22133966714123,0.03024343739567298,0.022152423329282946,0.49320388349514566,515
RF_7d,7-day return (non-overlapping),0.35247799679925196,0.0527667315851957,0.03996857982134412,0.7162162162162162,74
XGB_7d,7-day return (non-overlapping),0.502939372186857,0.046231460254459254,0.03614894073135646,0.7567567567567568,74
LSTM_7d,7-day return (non-overlapping),-1.1391010601787244,0.11540039442228599,0.08713588626429766,0.5,74
GRU_7d,7-day return (non-overlapping),-2.0069289257098055,0.13682114581865654,0.09863218547848444,0.5405405405405406,74
