date,actual,predicted
2019-06-19,0.4035910163408376,0.21535562
2019-06-20,0.1737817415915763,0.22412553
2019-06-21,0.2230531575488932,0.04555844
2019-06-22,0.117521580445264,0.16757795
2019-06-23,-0.0035204526848927,0.13709511
2019-06-24,-0.0388669319824477,0.0089007635
2019-06-25,-0.0838984159135338,-0.029058218
2019-06-26,-0.08104971999729,-0.06167191
2019-06-27,0.0029179489929171,0.02613658
2019-06-28,-0.1151635232065717,0.026423732
2019-06-29,-0.0627809193823227,-0.08105961
2019-06-30,0.0585820754377157,-0.009165608
2019-07-01,0.1608997031501882,0.06264037
2019-07-02,0.1640610661791364,0.12536415
2019-07-03,0.0163229466197052,0.032224283
2019-07-04,0.0127703096178815,0.0013318124
2019-07-05,0.0762881469866907,0.004283331
2019-07-06,0.0164007041220273,0.042684335
2019-07-07,-0.1043405888978427,0.025335839
2019-07-08,-0.1132079535985767,-0.02923478
2019-07-09,-0.2462396268782837,-0.039112557
2019-07-10,-0.2025835881277951,-0.17865683
2019-07-11,-0.0609384873706826,-0.09982698
2019-07-12,-0.1087724605089272,-0.07279626
2019-07-13,-0.0548822386402093,-0.026540749
2019-07-14,0.0334482171551799,0.040748514
2019-07-15,-0.0506635012977104,0.04178127
2019-07-16,0.0446446483577458,0.013930666
2019-07-17,0.0121854188817074,-0.025805967
2019-07-18,-0.0707487806338451,-0.11536646
2019-07-19,-0.0627144138204122,-0.06178735
2019-07-20,-0.1197590034275838,-0.086458236
2019-07-21,-0.0987106997163307,-0.09799078
2019-07-22,-0.079662811347496,-0.055014495
2019-07-23,-0.029628384636371,-0.07529738
2019-07-24,0.0278948449610705,-0.059157662
2019-07-25,0.0492165995417019,0.016884534
2019-07-26,0.0656384152629547,-0.018849785
2019-07-27,0.1418120414930559,0.016491152
2019-07-28,0.1483664752325388,0.063261606
2019-07-29,0.2402009519261398,0.08230751
2019-07-30,0.1947187040620646,0.13192466
2019-07-31,0.184058031215714,0.1353542
2019-08-01,0.1506527072629735,0.11070544
2019-08-02,0.1278512426082421,0.15498191
2019-08-03,0.0491878859152703,0.043629494
2019-08-04,0.0504453254822709,0.03572822
2019-08-05,-0.0358334348720145,0.068573676
2019-08-06,-0.0507344742843602,0.01588998
2019-08-07,-0.1582875226027953,-0.04606712
2019-08-08,-0.1382922456835341,-0.12302192
2019-08-09,-0.1254830668029783,-0.035692092
2019-08-10,-0.0988442716441143,-0.05353724
2019-08-11,-0.1022051000220759,-0.09658446
2019-08-12,-0.0409890390182603,-0.07482477
2019-08-13,-0.0121695782055384,0.008741303
2019-08-14,0.0085901556843059,0.038373772
2019-08-15,-0.0175037027573479,-0.001322924
2019-08-16,0.0032412645271164,-0.020002047
2019-08-17,-0.0070157347699876,-0.025304094
2019-08-18,-0.0200364164615999,0.012258037
2019-08-19,-0.0499478486342729,0.0491632
2019-08-20,-0.0536764792610839,0.0014081189
2019-08-21,-0.0378403105642294,-0.008077871
2019-08-22,-0.0612824062306099,0.0100075565
2019-08-23,-0.0778049337965702,0.0065000067
