,R²_overlapping,R²_non_overlapping,RMSE,MAE,Direction_overlapping,Direction_non_overlapping,N_predictions_total,N_predictions_independent
LSTM,-1.6861909333693705,-1.139101049555018,0.1132496999222204,0.08799916074978864,0.5,0.5,512.0,74.0
GRU,-2.5528032900103486,-2.006928926577041,0.13024294317254514,0.09077803200161885,0.525390625,0.5405405405405406,512.0,74.0
